gene_id,gene_name
1,AL627309.5
2,LINC01409
3,LINC01128
4,LINC00115
5,FAM41C
6,SAMD11
7,NOC2L
8,KLHL17
9,AL645608.7
10,HES4
11,ISG15
12,AGRN
13,C1orf159
14,AL390719.3
15,SDF4
16,B3GALT6
17,UBE2J2
18,LINC01786
19,SCNN1D
20,ACAP3
21,PUSL1
22,INTS11
23,CPTP
24,DVL1
25,MXRA8
26,AURKAIP1
27,CCNL2
28,MRPL20-AS1
29,MRPL20
30,ANKRD65
31,VWA1
32,ATAD3C
33,ATAD3B
34,ATAD3A
35,TMEM240
36,SSU72
37,AL645728.1
38,FNDC10
39,AL691432.2
40,MIB2
41,CDK11B
42,SLC35E2B
43,CDK11A
44,SLC35E2A
45,NADK
46,GNB1
47,CFAP74
48,PRKCZ
49,FAAP20
50,SKI
51,MORN1
52,AL513477.2
53,RER1
54,PEX10
55,PLCH2
56,PANK4
57,HES5
58,AL139246.5
59,TNFRSF14-AS1
60,TNFRSF14
61,PRXL2B
62,MMEL1
63,TTC34
64,PRDM16-DT
65,PRDM16
66,AL354743.2
67,ARHGEF16
68,MEGF6
69,TPRG1L
70,WRAP73
71,LRRC47
72,CEP104
73,DFFB
74,C1orf174
75,AJAP1
76,AL365255.1
77,NPHP4
78,KCNAB2
79,CHD5
80,RPL22
81,RNF207
82,ICMT
83,GPR153
84,ACOT7
85,AL031848.2
86,ESPN
87,TNFRSF25
88,PLEKHG5
89,NOL9
90,ZBTB48
91,KLHL21
92,PHF13
93,THAP3
94,DNAJC11
95,AL591163.1
96,CAMTA1-DT
97,CAMTA1
98,VAMP3
99,PER3
100,Z98884.1
101,UTS2
102,PARK7
103,ERRFI1
104,AL034417.2
105,SLC45A1
106,RERE
107,ENO1
108,SLC2A5
109,GPR157
110,MIR34AHG
111,LNCTAM34A
112,H6PD
113,SPSB1
114,LINC02606
115,SLC25A33
116,TMEM201
117,PIK3CD
118,PIK3CD-AS2
119,CLSTN1
120,CTNNBIP1
121,LZIC
122,NMNAT1
123,RBP7
124,UBE4B
125,KIF1B
126,AL139424.3
127,AL139424.2
128,PGD
129,CENPS
130,DFFA
131,PEX14
132,CASZ1
133,TARDBP
134,AL109811.2
135,SRM
136,EXOSC10
137,AL109811.1
138,MTOR
139,ANGPTL7
140,UBIAD1
141,DISP3
142,AL031731.1
143,FBXO2
144,FBXO44
145,FBXO6
146,MAD2L2
147,DRAXIN
148,AGTRAP
149,MTHFR
150,CLCN6
151,NPPB
152,KIAA2013
153,PLOD1
154,MFN2
155,MIIP
156,TNFRSF8
157,TNFRSF1B
158,VPS13D
159,DHRS3
160,PDPN
161,PRDM2
162,KAZN
163,AL357873.1
164,KAZN-AS1
165,AL031293.1
166,TMEM51-AS1
167,TMEM51
168,C1orf195
169,FHAD1
170,EFHD2
171,CELA2B
172,CASP9
173,DNAJC16
174,AGMAT
175,AL121992.1
176,DDI2
177,PLEKHM2
178,AL450998.3
