Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_HMS,Nuclei,G-175,Lumbar,L5,A-PEP.KIT,M,47,10x 3' RNA,1
U19_HMS,Nuclei,G-210,Lumbar,L4,A-LTMR.TAC3,M,76,10x 3' RNA,2
U19_HMS,Nuclei,G-175,Lumbar,L5,A-Propr.EPHA3,M,47,10x 3' RNA,3
U19_HMS,Nuclei,G-255,Lumbar,L5,C-Thermo.TRPM8,F,64,10x 3' RNA,4
U19_HMS,Nuclei,unassigned,Unknown,unassigned,C-NP.SST,unassigned,unassigned,10x 3' RNA,5
U19_HMS,Nuclei,G-131,Lumbar,L2,A-PEP.KIT,F,52,10x 3' RNA,6
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.SST,M,47,10x 3' RNA,7
U19_HMS,Nuclei,G-171,Unknown,unassigned,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,8
U19_HMS,Nuclei,unassigned,Unknown,unassigned,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,9
U19_HMS,Nuclei,G-131,Lumbar,L2,C-NP.MRGPRX1/GFRA2,F,52,10x 3' RNA,10
U19_HMS,Nuclei,G-210,Lumbar,L4,A-PEP.CHRNA7/SLC18A3,M,76,10x 3' RNA,11
U19_HMS,Nuclei,G-175,Lumbar,L5,A-PEP.SCGN/ADRA2C,M,47,10x 3' RNA,12
U19_HMS,Nuclei,G-175,Lumbar,L5,A-Propr.PCDH8,M,47,10x 3' RNA,13
U19_HMS,Nuclei,unassigned,Unknown,unassigned,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,14
U19_HMS,Nuclei,G-246,Lumbar,L5,A-PEP.CHRNA7/SLC18A3,M,63,10x 3' RNA,15
U19_HMS,Nuclei,G-259,Unknown,unassigned,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,16
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.SST,M,47,10x 3' RNA,17
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.SST,M,47,10x 3' RNA,18
